image_id,mask_id,step,token_group,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
11051,3,29,woman + right of + man,0.0682655784730404,0.0056061755462374,0.3893493269754512,0.0378448762743657,0.7574370709382151,0.1252433423615409
11051,3,29,'s,0.0639778559741802,0.0104556496618738,0.3889706195821016,0.0380783682462596,0.7620137299771167,0.1180447972982098
,,,,,,,,,
11051,3_woman_first,7,woman,0.0062588921701079,0.0,0.1223150952453762,0.1622219050369851,0.8741418764302059,0.0124287936609839
,,,,,,,,,
11051,3_man_second,28,man,0.021000977044933,0.0,0.0550798216166374,0.1733196555363317,0.6864988558352403,0.0407551946806197
11051,3_man_second,29,'s,0.0127907128586165,0.0036085537364463,0.0980978849893931,0.1422418938303584,0.7620137299771167,0.0251591195806477
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
11699,1,16,person + red,0.2908365009311462,0.2175694771549693,0.3102289263391601,0.1221291265740096,0.7877237851662404,0.4248234101163655
11699,1,16,red,0.2859962287869265,0.209822272641331,0.303735505609968,0.1245194581384301,0.782608695652174,0.4189071759890301
,,,,,,,,,
11699,1_person,13,person,0.0791519004669414,0.0105522842273963,0.1644909030191934,0.1343568327659482,0.887468030690537,0.1453410569523336
,,,,,,,,,
11699,1_person,16,red,0.2859962287869265,0.209822272641331,0.303735505609968,0.1245194581384301,0.782608695652174,0.4189071759890301
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
11699,3,13,person + left of + person,0.0613641241361548,0.0083970526901153,0.2950756660268068,0.0594501810266747,0.887468030690537,0.1147910051849162
11699,3,13,person,0.0613641241361548,0.0083970526901153,0.2950756660268068,0.0594501810266747,0.887468030690537,0.1147910051849162
,,,,,,,,,
11699,3_person_first,13,person,0.0791519004669414,0.0105522842273963,0.1644909030191934,0.1343568327659482,0.887468030690537,0.1453410569523336
,,,,,,,,,
11699,3_person_second,13,person,0.0236603021911286,0.0046290938548779,0.1317673104505366,0.1075580618734038,0.887468030690537,0.0460917766099828
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
11699,2,13,person + standing,0.02384641456447,0.0046150739854048,0.1321599841894551,0.1073872917409533,0.8849104859335039,0.0464413360458747
11699,2,13,person,0.0236603021911286,0.0046290938548779,0.1317673104505366,0.1075580618734038,0.887468030690537,0.0460917766099828
,,,,,,,,,
11699,2_person,5,standing,0.1012032568719573,0.0958816982032119,0.1910277950188364,0.0963887803263092,0.8312020460358056,0.1804373139344524
,,,,,,,,,
11699,2_person,13,person,0.0236603021911286,0.0046290938548779,0.1317673104505366,0.1075580618734038,0.887468030690537,0.0460917766099828
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
29397,1,54,person + orange,0.3651670279936069,0.4182511306324438,0.3128565385901906,0.1394338882140107,0.8016304347826086,0.5017648953783023
29397,1,54,orange,0.3651783447575527,0.4122918730248573,0.3109508065547337,0.1402636565506796,0.8016304347826086,0.5017755786797528
,,,,,,,,,
29397,1_person,52,person,0.3705129566694987,0.316888738966661,0.3501232898179995,0.1025179877086808,0.904891304347826,0.5257532264648409
,,,,,,,,,
29397,1_person,54,orange,0.3651783447575527,0.4122918730248573,0.3109508065547337,0.1402636565506796,0.8016304347826086,0.5017755786797528
